educ,age,inc_q,emp_in,mobileowner,internetaccess,account,female
3,53,5,1,1,1,1,0
2,28,4,1,1,1,1,1
2,20,3,1,1,1,1,1
2,21,4,1,1,1,1,1
2,25,4,1,1,1,1,0
2,19,5,1,1,1,1,1
2,40,1,1,2,1,0,0
2,63,5,2,1,2,1,0
3,32,5,1,1,1,1,1
2,24,3,1,1,1,1,1
2,31,3,1,1,1,1,0
2,25,2,1,1,2,0,0
3,35,4,1,1,1,1,0
1,55,2,1,1,2,1,0
2,35,1,1,1,1,0,0
2,37,1,1,1,1,1,1
1,57,4,2,1,2,0,0
1,64,1,2,1,2,0,0
1,48,1,1,1,1,1,1
3,55,5,1,1,1,1,1
2,29,2,1,1,1,1,0
2,39,5,1,2,2,1,1
3,38,5,1,1,1,1,1
3,54,5,1,1,1,1,1
2,68,4,2,1,1,0,1
2,26,4,1,1,1,1,0
2,60,2,1,2,2,1,0
1,54,1,1,1,2,1,0
2,38,2,1,1,2,1,0
2,29,3,1,1,1,1,0
1,29,2,1,1,1,1,0
2,64,2,2,1,1,0,1
2,19,5,2,1,1,0,0
2,46,5,1,1,1,1,0
3,35,4,1,1,1,1,1
2,25,1,1,1,1,1,0
2,24,2,2,1,2,1,0
2,20,2,2,2,2,1,0
2,21,1,1,1,2,0,1
3,37,5,1,1,1,1,0
3,58,5,2,1,1,1,0
2,19,1,1,1,1,1,1
2,34,4,1,1,1,1,0
2,33,1,2,1,1,1,0
2,24,3,1,1,1,1,0
2,55,4,1,1,2,1,1
1,63,3,1,1,1,1,0
2,22,5,2,1,1,0,1
2,29,5,1,1,2,0,1
2,56,5,1,1,1,1,1
2,29,3,1,1,1,1,0
2,16,4,2,1,1,1,1
2,17,1,2,1,2,0,0
1,16,2,1,1,1,1,1
2,31,2,1,1,1,1,1
2,53,3,1,1,1,1,1
2,44,1,1,1,2,1,0
